GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
private und kirchliche Kunsthochschulen;  Vermessungswesen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Kunst, Kunstwissenschaft;2014;17;17;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Bildende Kunst;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Gestaltung;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Musik, Musikwissenschaft;2014;17;17;-;-;-;-;-
private und kirchliche Kunsthochschulen;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;55;4;51;-;-;-;-
private und kirchliche Kunsthochschulen;  Hochschule insgesamt;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Zentralbibliothek;2014;2;-;2;-;-;-;-
private und kirchliche Kunsthochschulen;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;46;-;46;-;-;-;-
private und kirchliche Kunsthochschulen;  Zentrale Hochschulverwaltung;2014;7;4;3;-;-;-;-
private und kirchliche Kunsthochschulen;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private und kirchliche Kunsthochschulen;Insgesamt;2014;72;21;51;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Sprach- und Kulturwissenschaften;2014;188;18;39;131;85;46;0
Fachhochschulen in Trägerschaft dee Landes;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;138;18;-;120;85;35;0
Fachhochschulen in Trägerschaft dee Landes;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Bibliothekswissenschaft, Dokumentation;2014;18;-;13;5;-;5;-
Fachhochschulen in Trägerschaft dee Landes;  Erziehungswissenschaften;2014;0;-;0;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Evangelische Theologie;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Geschichte;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Katholische Theologie;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Philosophie;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Psychologie;2014;0;-;0;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Romanistik;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Sonderpädagogik;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Sprach- und Kulturwissenschaften allgemein;2014;32;-;25;7;-;7;-
Fachhochschulen in Trägerschaft dee Landes;Sport;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;3566;24;730;2802;1165;1637;10
Fachhochschulen in Trägerschaft dee Landes;  Politikwissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;56;-;40;16;0;15;-
Fachhochschulen in Trägerschaft dee Landes;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Sozialwesen;2014;587;4;100;483;234;249;-
Fachhochschulen in Trägerschaft dee Landes;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Wirtschaftswissenschaften;2014;2923;20;590;2303;931;1372;10
Fachhochschulen in Trägerschaft dee Landes;Mathematik, Naturwissenschaften;2014;5834;12;454;5368;2312;3055;0
Fachhochschulen in Trägerschaft dee Landes;  Biologie;2014;727;1;27;700;229;471;-
Fachhochschulen in Trägerschaft dee Landes;  Chemie;2014;191;-;8;183;75;108;-
Fachhochschulen in Trägerschaft dee Landes;  Geographie;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Informatik;2014;1948;4;261;1684;637;1046;-
Fachhochschulen in Trägerschaft dee Landes;  Mathematik;2014;776;4;72;700;320;380;-
Fachhochschulen in Trägerschaft dee Landes;  Mathematik, Naturwissenschaften allgemein;2014;655;-;3;652;127;525;-
Fachhochschulen in Trägerschaft dee Landes;  Pharmazie;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Physik, Astronomie;2014;1536;3;84;1449;923;526;0
Fachhochschulen in Trägerschaft dee Landes;Humanmedizin/Gesundheitswissenschaften;2014;76;-;7;69;52;17;-
Fachhochschulen in Trägerschaft dee Landes;  Gesundheitswissenschaften allgemein;2014;76;-;7;69;52;17;-
Fachhochschulen in Trägerschaft dee Landes;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Veterinärmedizin;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Agrar-, Forst- und Ernährungswissenschaften;2014;442;3;10;429;239;190;-
Fachhochschulen in Trägerschaft dee Landes;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;442;3;10;429;239;190;-
Fachhochschulen in Trägerschaft dee Landes;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Ingenieurwissenschaften;2014;23115;146;3408;19558;8060;11498;2
Fachhochschulen in Trägerschaft dee Landes;  Architektur;2014;301;7;10;284;277;7;-
Fachhochschulen in Trägerschaft dee Landes;  Bauingenieurwesen;2014;3675;51;919;2704;720;1983;2
Fachhochschulen in Trägerschaft dee Landes;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Elektrotechnik;2014;6669;64;520;6085;2811;3274;1
Fachhochschulen in Trägerschaft dee Landes;  Ingenieurwissenschaften allgemein;2014;5216;-;293;4923;1125;3797;-
Fachhochschulen in Trägerschaft dee Landes;  Maschinenbau/Verfahrenstechnik;2014;4878;3;1183;3692;1876;1816;-
Fachhochschulen in Trägerschaft dee Landes;  Raumplanung;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Verkehrstechnik, Nautik;2014;2288;22;469;1797;1250;547;-
Fachhochschulen in Trägerschaft dee Landes;  Vermessungswesen;2014;86;-;13;74;-;74;-
Fachhochschulen in Trägerschaft dee Landes;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;1;-;1;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Kunst, Kunstwissenschaft;2014;63;3;31;29;8;21;-
Fachhochschulen in Trägerschaft dee Landes;  Bildende Kunst;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Gestaltung;2014;63;3;31;29;8;21;-
Fachhochschulen in Trägerschaft dee Landes;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;10631;483;2007;7424;3112;4312;718
Fachhochschulen in Trägerschaft dee Landes;  Hochschule insgesamt;2014;1429;40;249;986;576;409;155
Fachhochschulen in Trägerschaft dee Landes;  Hochschulrechenzentrum;2014;47;-;47;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Übrige Ausbildungseinrichtungen;2014;43;-;43;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Zentralbibliothek;2014;190;45;95;50;-;50;-
Fachhochschulen in Trägerschaft dee Landes;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;45;-;45;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Zentrale Hochschulverwaltung;2014;3999;331;1070;2326;1577;749;272
Fachhochschulen in Trägerschaft dee Landes;  Zentrale wissenschaftliche Einrichtungen;2014;4878;67;458;4062;958;3104;291
Fachhochschulen in Trägerschaft dee Landes;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
Fachhochschulen in Trägerschaft dee Landes;Insgesamt;2014;43915;690;6684;35811;15034;20777;730
private und kirchliche Fachhochschulen;Sprach- und Kulturwissenschaften;2014;285;201;84;-;-;-;-
private und kirchliche Fachhochschulen;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Erziehungswissenschaften;2014;285;201;84;-;-;-;-
private und kirchliche Fachhochschulen;  Evangelische Theologie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Geschichte;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Katholische Theologie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Philosophie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Psychologie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Romanistik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Sonderpädagogik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Sport;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;1659;1581;40;38;-;38;-
private und kirchliche Fachhochschulen;  Politikwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Sozialwesen;2014;525;484;40;-;-;-;-
private und kirchliche Fachhochschulen;  Sozialwissenschaften;2014;837;837;-;-;-;-;-
private und kirchliche Fachhochschulen;  Verwaltungswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Wirtschaftswissenschaften;2014;297;259;-;38;-;38;-
private und kirchliche Fachhochschulen;Mathematik, Naturwissenschaften;2014;2252;98;2118;37;20;16;-
private und kirchliche Fachhochschulen;  Biologie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Chemie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Geographie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Informatik;2014;2252;98;2118;37;20;16;-
private und kirchliche Fachhochschulen;  Mathematik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Pharmazie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Physik, Astronomie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Ingenieurwissenschaften;2014;2644;115;2487;43;24;19;-
private und kirchliche Fachhochschulen;  Architektur;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Elektrotechnik;2014;2644;115;2487;43;24;19;-
private und kirchliche Fachhochschulen;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Raumplanung;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Verkehrstechnik, Nautik;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Vermessungswesen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Kunst, Kunstwissenschaft;2014;415;252;13;149;149;-;-
private und kirchliche Fachhochschulen;  Bildende Kunst;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Gestaltung;2014;415;252;13;149;149;-;-
private und kirchliche Fachhochschulen;  Kunst, Kunstwissenschaft allgemein;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Musik, Musikwissenschaft;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Hochschule insgesamt;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Hochschulrechenzentrum;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Übrige Ausbildungseinrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zentral verwaltete Hörsäle und Lehrräume;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zentralbibliothek;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zentrale Betriebs- und Versorgungseinrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zentrale Hochschulverwaltung;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Zentrale wissenschaftliche Einrichtungen;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Zentr. Einr. d. Hochschulkliniken (nur Humanmed.);2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Kliniken insgesamt, Zentrale Dienste;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Mit den Kliniken verb. sowie klinikfr. Einr.;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Soziale Einrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;  Übrige Ausbildungseinrichtungen der Kliniken;2014;-;-;-;-;-;-;-
private und kirchliche Fachhochschulen;Insgesamt;2014;7255;2246;4743;266;193;73;-
Verwaltungsfachhochschulen;Sprach- und Kulturwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Allg. u. vergl. Literatur- u. Sprachwissenschaft;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Altphilologie (klass. Philologie);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Anglistik, Amerikanistik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Bibliothekswissenschaft, Dokumentation;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Erziehungswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Evangelische Theologie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Germanistik (Deutsch, germ. Sprachen ohne Angl.);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Geschichte;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Katholische Theologie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Kulturwissenschaften i.e.S.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Philosophie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Psychologie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Romanistik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Slawistik, Baltistik, Finno-Ugristik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Sonderpädagogik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Sonst./Außereurop. Sprach- u. Kulturwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Sprach- und Kulturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Sport;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Rechts-, Wirtschafts- und Sozialwissenschaften;2014;1503;-;1459;44;44;-;-
Verwaltungsfachhochschulen;  Politikwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Rechts-, Wirtschafts- u. Sozialwiss. allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Rechtswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Regionalwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Sozialwesen;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Sozialwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Verwaltungswissenschaften;2014;1503;-;1459;44;44;-;-
Verwaltungsfachhochschulen;  Wirtschaftsingenieurwesen mit wirt.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Wirtschaftswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Mathematik, Naturwissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Biologie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Chemie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Geographie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Geowissenschaften (ohne Geographie);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Informatik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Mathematik;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Mathematik, Naturwissenschaften allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Pharmazie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Physik, Astronomie;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Humanmedizin/Gesundheitswissenschaften;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Gesundheitswissenschaften allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Humanmedizin allgemein;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Klin.-Prakt. Humanmed. (ohne Zahnmed.);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;Veterinärmedizin;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
Verwaltungsfachhochschulen;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
