GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Universitäten in Trägerschaft des Landes;  Klin.-Theoret. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Vorkl. Humanmedizin (einschl. Zahnmed.);2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Zahnmedizin (klinisch-praktisch);2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;Veterinärmedizin;2014;9119;360;5605;3154;955;2199;-
Universitäten in Trägerschaft des Landes;  Klinisch-Praktische Veterinärmedizin;2014;4751;0;3901;850;273;577;-
Universitäten in Trägerschaft des Landes;  Klinisch-Theoretische Veterinärmedizin;2014;2676;360;406;1910;677;1233;-
Universitäten in Trägerschaft des Landes;  Veterinärmedizin allgemein;2014;1318;-;1158;159;-;159;-
Universitäten in Trägerschaft des Landes;  Vorklinische Veterinärmedizin;2014;374;-;139;235;5;230;-
Universitäten in Trägerschaft des Landes;Agrar-, Forst- und Ernährungswissenschaften;2014;3735;43;88;3598;2086;1512;7
Universitäten in Trägerschaft des Landes;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Forstwissenschaft, Holzwirtschaft;2014;3185;41;88;3050;1766;1285;7
Universitäten in Trägerschaft des Landes;  Landespflege, Umweltgestaltung;2014;550;2;0;548;321;227;-
Universitäten in Trägerschaft des Landes;Ingenieurwissenschaften;2014;215415;88;7424;207693;82835;124859;210
Universitäten in Trägerschaft des Landes;  Architektur;2014;1384;9;28;1347;689;658;-
Universitäten in Trägerschaft des Landes;  Bauingenieurwesen;2014;10930;13;1275;9641;4529;5112;-
Universitäten in Trägerschaft des Landes;  Bergbau, Hüttenwesen;2014;11291;38;239;11013;4624;6389;1
Universitäten in Trägerschaft des Landes;  Elektrotechnik;2014;43963;-;636;43226;10652;32574;101
Universitäten in Trägerschaft des Landes;  Ingenieurwissenschaften allgemein;2014;3450;5;147;3297;1804;1493;-
Universitäten in Trägerschaft des Landes;  Maschinenbau/Verfahrenstechnik;2014;136504;8;4933;131456;59553;71903;107
Universitäten in Trägerschaft des Landes;  Raumplanung;2014;1412;2;1;1409;84;1325;-
Universitäten in Trägerschaft des Landes;  Verkehrstechnik, Nautik;2014;4284;-;151;4134;287;3846;-
Universitäten in Trägerschaft des Landes;  Vermessungswesen;2014;2197;12;15;2170;612;1558;-
Universitäten in Trägerschaft des Landes;  Wirtschaftsingenieurwesen mit ing.-wiss. Schwerp.;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;Kunst, Kunstwissenschaft;2014;1602;8;153;1440;240;1201;-
Universitäten in Trägerschaft des Landes;  Bildende Kunst;2014;138;-;4;135;-;135;-
Universitäten in Trägerschaft des Landes;  Darst. Kunst, Film und Ferns., Theaterwissensch.;2014;214;-;-;214;-;214;-
Universitäten in Trägerschaft des Landes;  Gestaltung;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Kunst, Kunstwissenschaft allgemein;2014;370;-;-;370;200;170;-
Universitäten in Trägerschaft des Landes;  Musik, Musikwissenschaft;2014;879;8;149;722;40;682;-
Universitäten in Trägerschaft des Landes;Zentrale Einrichtungen (ohne klinikspez. Einr.);2014;63815;1483;7315;53210;20682;32529;1807
Universitäten in Trägerschaft des Landes;  Hochschule insgesamt;2014;1684;-;1650;34;-;34;-
Universitäten in Trägerschaft des Landes;  Hochschulrechenzentrum;2014;1301;6;619;675;257;418;-
Universitäten in Trägerschaft des Landes;  Mit der Hochschule verb. sowie hochschulfr. Einr.;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Soziale Einrichtungen;2014;-;-;-;-;-;-;-
Universitäten in Trägerschaft des Landes;  Übrige Ausbildungseinrichtungen;2014;2059;102;839;1118;77;1041;-
Universitäten in Trägerschaft des Landes;  Zentral verwaltete Hörsäle und Lehrräume;2014;9;-;9;-;-;-;-
Universitäten in Trägerschaft des Landes;  Zentralbibliothek;2014;4439;241;234;3963;980;2983;-
